sampn,sample_id,hhsize,hhveh,sectr,own,rooms,incom,project,pktno,hhidu,resty,hhcrd,hhtaz,X1,wght2015,numWorkers
16749,4023460,5,2,3,1,7,3,4,30185005,1,1,0101000020F707000037EAC5DCDA840841C947B73B265B2341,8502,566,5,2
16750,4023470,4,2,3,1,5,98,4,30185005,1,1,0101000020F7070000B3A9A76529850841EA644907AA592341,8502,567,13.7845182630216,2
16752,4023490,1,1,3,1,4,98,4,30185005,1,1,0101000020F7070000CE71EBD1E68D08419E51D465DC5A2341,8502,568,7.70467925999936,1
16753,4023500,4,2,3,1,5,3,4,30185005,2,2,0101000020F70700001E868125E28C084169D540DFC55C2341,8502,569,32.5252475839496,2
16754,4023510,2,0,3,1,4,2,4,30185005,1,1,0101000020F7070000BC50FC7976920841F1CBD22DD25D2341,8502,570,13.0472007623149,1
16755,4023520,3,2,3,1,7,5,4,30185005,1,1,0101000020F70700005448969492830841F0183B9771592341,8502,571,21.7763206878267,2
16756,4023530,4,2,3,1,5,4,4,30185005,1,1,0101000020F707000065682AD1AB8808417139D63A045C2341,8502,572,32.5252475839496,2
16757,4023540,2,2,3,1,3,98,4,30185005,2,1,0101000020F7070000D408F5708D940841E236C1AA015D2341,8502,573,13.0472007623149,2
16758,4023550,1,1,3,1,6,4,4,30185006,1,1,0101000020F7070000D76A33DB5B90084185B1DE089D5C2341,8502,574,7.70467925999936,1
16760,4023570,2,2,3,1,3,3,4,30185006,1,1,0101000020F70700007FB70D17148E084149863981675D2341,8502,575,16.1529510619638,0
16761,4023580,2,1,3,1,5,3,4,30185006,2,3,0101000020F7070000191E6A0FA4980841ED4609CE195D2341,8502,576,16.1529510619638,0
16763,4023600,2,0,3,1,4,2,4,30185006,1,1,0101000020F70700005FBD6456BB9708416A7B7D0EA15D2341,8502,577,13.0472007623149,1
16764,4023610,4,1,3,1,4,98,4,30185006,1,1,0101000020F70700002E78DD86AC85084192EA7B9C3F5A2341,8502,578,14.7774243987435,1
16765,4023620,4,2,3,1,3,98,4,30185006,2,1,0101000020F7070000951C988592830841F6C1808069592341,8502,579,13.7845182630216,2
16767,4023640,2,1,3,1,3,3,4,30185006,1,1,0101000020F70700005030861E6F8E0841F09FECF54B5E2341,8502,580,13.0472007623149,1
16768,4023650,4,1,3,1,5,98,4,30185006,1,1,0101000020F707000048CC455BB383084130F6BAF995592341,8502,581,18.295036420703,1
16769,4023660,5,2,3,1,4,3,4,30185006,1,1,0101000020F7070000B342767ECB97084100DD15E5925D2341,8502,582,7.62520398705381,2
16770,4023670,4,2,3,1,6,5,4,30185006,3,1,0101000020F7070000F7830B4D489308412F680CC4FD5C2341,8502,583,25.3607847727074,2
16771,4023680,3,2,3,1,5,98,4,30185006,2,1,0101000020F7070000C547266A99840841C01DC19EEB5A2341,8502,584,8.60891326803577,1
16772,4023690,5,2,3,1,7,5,4,30185006,1,1,0101000020F70700005AAA2367EA880841BA02DE7AB05A2341,8502,585,7.62520398705381,2
17422,4023700,5,0,2,1,3,2,4,30384201,1,3,0101000020F7070000C2E6E93AD26808413A36D9C58F222341,8422,586,32.3285808677346,1
17423,4023710,10,1,2,1,5,98,4,30384201,1,3,0101000020F707000098C58B9CB8620841A1F549DE6A232341,8422,587,52.6779697404376,1
17424,4023720,9,0,2,1,3,2,4,30384201,1,3,0101000020F707000098A985AA0765084146AFEBDE41232341,8422,588,52.1706761660144,1
17425,4023730,11,0,2,1,5,2,4,30384201,1,3,0101000020F7070000C4DD087748610841B9EE241275252341,8423,589,42.5342671937493,2
17426,4023740,7,0,2,2,4,3,4,30384201,1,3,0101000020F7070000AA4F129BE86C08412A1C4BB7272B2341,8421,590,50.4150882650252,2
17430,4023780,9,0,2,1,4,2,4,30384201,1,3,0101000020F7070000A38086D2516B0841EC8D388FE1222341,8422,591,52.1706761660144,1
17431,4023790,6,0,2,1,3,2,4,30384201,1,3,0101000020F70700008598F4C6816A08418DB65C08B6222341,8422,592,32.8866478226661,1
17432,4023800,11,1,2,1,6,5,4,30384201,1,3,0101000020F707000092E711880B5B08419B0CD35B70242341,8423,593,42.5342671937493,2
17435,4023830,10,0,2,1,0,3,4,30384201,1,3,0101000020F70700002369154F366108412149FAD07E272341,8423,594,52.6779697404376,1
17436,4023840,8,0,2,1,3,2,4,30384201,1,3,0101000020F707000029708C498C690841F3FABCC614232341,8422,595,51.285370660215,1
17437,4023850,4,2,3,1,3,3,4,30384202,1,3,0101000020F707000007C76C46CF5008413101D92054262341,8412,596,32.9779481879272,2
17439,4023870,10,0,2,1,4,98,4,30384202,1,3,0101000020F70700009C6B6AD77C6608417FBBDCE3C9232341,8422,597,34.9559469017788,1
17440,4023880,4,1,2,1,4,1,4,30384202,1,3,0101000020F70700001AB7FC69C45B08411A1BD25839282341,8423,598,22.0012986096756,2
17442,4023900,12,0,2,3,3,2,4,30384202,1,3,0101000020F7070000BC9432A0F16808411D1497E51B242341,8422,599,22.7898215122841,0
17446,4023940,6,0,2,1,0,98,4,30384202,1,3,0101000020F70700005E904D7CFA67084178DD5776612A2341,8421,600,49.5595740471466,1
17447,4023950,10,0,2,1,4,98,4,30384202,1,3,0101000020F70700005E617CB8505F084150FB58BB28272341,8423,601,98.7929336875902,2
17448,4023960,6,0,2,1,3,1,4,30384202,1,3,0101000020F7070000EC1A28916A6B08417982F874AF2B2341,8421,602,32.8866478226661,0
17449,4023970,3,0,2,2,3,2,4,30384202,1,3,0101000020F70700002B8716D91D690841D7A3703D8D232341,8422,603,5.01035783134195,1
17450,4023980,9,0,2,1,3,1,4,30384202,1,3,0101000020F70700006B993FE5F559084140CE35474F252341,8423,604,34.6193179971621,0
17452,4014670,5,1,3,2,3,3,4,30175205,3,2,0101000020F7070000408A2D92F96D09410A5B0822994F2341,7521,605,25.8591476226384,2
17453,4014620,1,0,3,1,5,1,4,30175205,2,2,0101000020F7070000787D54E0537D094166263E28A54F2341,7521,606,12.7373416471946,0
17454,4024000,5,0,2,1,5,98,4,30384203,1,3,0101000020F70700001C4CD7DFD4530841384B38FF8A262341,8423,607,11.7434766185722,1
17457,4024030,8,0,2,1,5,1,4,30384203,1,3,0101000020F707000034ED481CA2600841AA539CF6A8252341,8423,608,34.0318486545689,0
17458,4024040,7,1,2,1,4,2,4,30384203,1,3,0101000020F7070000B05E59118D60084132E8A9DDEA242341,8423,609,50.4150882650252,1
17459,4024050,8,0,2,1,4,3,4,30384203,1,3,0101000020F70700009675A3FA035808415A1FD34B03272341,8423,610,142.613619744894,2
17460,4024060,7,0,2,1,3,1,4,30384203,1,3,0101000020F707000094C230179D630841F77C8EC066232341,8422,611,33.4543483191209,0
17461,4024070,5,0,2,1,4,3,4,30384203,1,3,0101000020F7070000966F3D1C596A0841B1A10D13082B2341,8421,612,135.475918030805,2
17462,4024080,7,0,2,1,4,1,4,30384203,1,1,0101000020F7070000F1DA5D3C14590841F536738102272341,8423,613,33.4543483191209,1
17467,4024130,5,0,2,1,3,2,4,30384203,1,3,0101000020F70700006BE64733A0690841C5EF103D76232341,8422,614,32.3285808677346,0
17470,4024160,7,0,2,1,4,98,4,30384204,1,3,0101000020F707000071E55252625C084122216D4F2B272341,8423,615,50.4150882650252,2
17476,4024220,8,0,2,1,3,2,4,30384204,1,3,0101000020F70700001A60CF9324640841085B33EDD5232341,8422,616,51.285370660215,1
17477,4024230,5,0,2,1,4,1,4,30384204,1,3,0101000020F7070000C7EB2A3D2A5708417166F3E678262341,8423,617,32.3285808677346,0
17478,4024240,7,1,2,1,4,3,4,30384204,1,3,0101000020F707000014880988AA570841BE068E7F4E252341,8423,618,140.193551000523,2
17480,4024260,9,0,2,1,4,2,4,30384204,1,3,0101000020F707000091D17E6624620841133FBFB2BF242341,8423,619,52.1706761660144,1
17482,4024280,11,0,2,1,5,2,4,30384204,1,3,0101000020F70700008D27878B486B08419B6602B1C52A2341,8421,620,42.5342671937493,1
17485,4024310,8,0,2,1,4,1,4,30384205,1,3,0101000020F70700007C02B88D5E6B084148D757EAB42A2341,8421,621,51.285370660215,1
17486,4024320,5,0,2,2,3,98,4,30384205,1,3,0101000020F70700006D667BA2FF560841B038884DC3262341,8423,622,5.0125373424494,1
17487,4024330,5,1,2,1,3,2,4,30384205,1,3,0101000020F70700007E97F21CA36B08418293DEEE132B2341,8421,623,135.475918030805,2
17488,4024340,5,1,2,2,3,4,4,30384205,1,3,0101000020F707000067E8228B336A0841705BBFB627292341,8421,624,48.7185773993476,1
17489,4024350,5,0,2,2,3,1,4,30384205,1,3,0101000020F7070000135DCBCBBD670841C270B42FCD222341,8422,625,32.3285808677346,0
17491,4024370,3,1,2,1,3,3,4,30384205,1,3,0101000020F707000004F91C3A6F690841A4B35461E3222341,8422,626,13.2549050616816,2
17492,4024380,5,1,2,1,3,2,4,30384205,1,3,0101000020F7070000AB30026DB5660841624595FF96292341,8421,627,135.475918030805,2
17493,4024390,3,0,2,1,3,1,4,30384205,1,3,0101000020F7070000164DD6608A690841D2F5F3653A242341,8422,628,5.01815646089486,0
17494,4024400,3,0,2,1,3,98,4,30384205,1,3,0101000020F70700001BC4DA8D6E62084122FE041235262341,8423,629,5.01815646089486,1
17495,4024410,9,0,2,1,4,98,4,30384205,1,3,0101000020F7070000AB82D4CFB85708418C7A967CA5252341,8423,630,52.1706761660144,1
17497,4024430,4,0,2,1,4,1,4,30384205,1,3,0101000020F7070000CE340640286108412CC33B39E4262341,8423,631,5.01144746841023,1
17498,4024440,4,0,2,2,4,2,4,30384205,1,3,0101000020F7070000CAC8D260E35808414872DD112C242341,8423,632,14.5995798577565,0
17499,4024450,12,0,2,1,5,2,4,30384206,1,3,0101000020F7070000169A77CEEB550841A7FD4C2B48252341,8423,633,34.3438423049264,4
17501,4024470,5,1,2,2,3,2,4,30384206,1,3,0101000020F7070000B5F6481957690841A1AB65CE772B2341,8421,634,135.475918030805,2
